zip,yelp_dollar_1,yelp_dollar_2,yelp_dollar_3,yelp_dollar_4,Total_Business,STATE,income_level_1,income_level_2,income_level_3,income_level_4,income_level_5,income_level_6,affluence,yelp_perc_1,yelp_perc_2,yelp_perc_3,yelp_perc_4,city
28134,34,57,9,2,102,NC,1920.0,1450.0,760.0,510.0,690.0,160.0,57194.89981785064,0.3333333333333333,0.5588235294117647,0.08823529411764706,0.0196078431372549,Pineville
28164,2,4,0,0,6,NC,2290.0,1520.0,910.0,660.0,960.0,260.0,62007.57575757576,0.3333333333333333,0.6666666666666666,0.0,0.0,Stanley
28173,26,29,7,0,62,NC,6480.0,2980.0,2270.0,1900.0,5550.0,4010.0,100727.68434670118,0.41935483870967744,0.4677419354838709,0.1129032258064516,0.0,Waxhaw
28202,68,143,27,4,242,NC,1450.0,1590.0,1570.0,900.0,1470.0,650.0,83568.15203145478,0.2809917355371901,0.5909090909090909,0.1115702479338843,0.016528925619834708,Charlotte
28203,75,151,23,8,257,NC,2130.0,2150.0,1890.0,1030.0,1460.0,1240.0,85303.0303030303,0.2918287937743191,0.5875486381322957,0.08949416342412451,0.0311284046692607,Charlotte
28204,47,75,6,1,129,NC,980.0,1040.0,770.0,410.0,590.0,410.0,77678.57142857142,0.3643410852713178,0.5813953488372093,0.04651162790697674,0.007751937984496123,Charlotte
28205,62,113,15,4,194,NC,9200.0,6330.0,2820.0,1430.0,2130.0,840.0,52010.98901098901,0.31958762886597936,0.5824742268041238,0.07731958762886597,0.020618556701030927,Charlotte
28206,12,22,3,1,38,NC,3440.0,1530.0,430.0,150.0,200.0,40.0,31152.849740932637,0.3157894736842105,0.5789473684210527,0.07894736842105263,0.02631578947368421,Charlotte
28207,9,13,0,1,23,NC,840.0,540.0,380.0,290.0,540.0,1770.0,138388.7614678899,0.39130434782608703,0.5652173913043478,0.0,0.043478260869565216,Charlotte
28208,45,73,11,3,132,NC,10290.0,4780.0,1260.0,460.0,450.0,100.0,29952.42214532872,0.3409090909090909,0.553030303030303,0.08333333333333333,0.022727272727272728,Charlotte
28209,42,74,11,6,133,NC,2820.0,2730.0,1940.0,1040.0,1810.0,1440.0,83308.57385398983,0.3157894736842105,0.556390977443609,0.08270676691729323,0.045112781954887216,Charlotte
28210,63,128,17,0,208,NC,6610.0,5260.0,2880.0,1900.0,3700.0,2260.0,77227.99646174259,0.30288461538461536,0.6153846153846154,0.08173076923076923,0.0,Charlotte
28211,33,59,10,5,107,NC,3630.0,2380.0,1470.0,1090.0,2320.0,2980.0,102009.7332372026,0.308411214953271,0.5514018691588785,0.09345794392523364,0.04672897196261682,Charlotte
28212,11,26,0,1,38,NC,9400.0,5680.0,1600.0,620.0,480.0,60.0,32048.7668161435,0.2894736842105263,0.6842105263157895,0.0,0.02631578947368421,Charlotte
28213,25,35,10,2,72,NC,8950.0,5480.0,2250.0,1120.0,1070.0,130.0,39421.05263157895,0.3472222222222222,0.4861111111111111,0.1388888888888889,0.027777777777777776,Charlotte
28214,9,13,2,1,25,NC,7250.0,5590.0,2760.0,1380.0,1470.0,330.0,47736.95420660277,0.36,0.52,0.08,0.04,Charlotte
28215,13,18,2,0,33,NC,12290.0,7790.0,3190.0,1630.0,1550.0,250.0,40552.43445692884,0.3939393939393939,0.5454545454545454,0.060606060606060615,0.0,Charlotte
28216,18,39,6,2,65,NC,11490.0,7960.0,3360.0,1540.0,1520.0,340.0,41963.94505913773,0.2769230769230769,0.6,0.09230769230769233,0.030769230769230767,Charlotte
28217,40,78,16,0,134,NC,6180.0,3830.0,1510.0,790.0,520.0,60.0,37034.5228859581,0.29850746268656714,0.582089552238806,0.11940298507462685,0.0,Charlotte
28226,23,28,5,0,56,NC,5150.0,3680.0,2340.0,1620.0,3310.0,2930.0,90350.7619548082,0.4107142857142857,0.5,0.08928571428571429,0.0,Charlotte
28227,17,43,5,1,66,NC,10360.0,6880.0,3260.0,2060.0,2730.0,720.0,52326.02845059593,0.2575757575757576,0.6515151515151515,0.07575757575757576,0.015151515151515154,Matthews
